Wall time,Step,Value
1525607556.0038452,0,0.19035565853118896
1525607708.8026543,1,0.1908942610025406
1525607861.276231,2,0.1913631111383438
1525608009.9350398,3,0.1929432898759842
1525608164.4834738,4,0.1931946873664856
1525608314.1194792,5,0.1958075612783432
1525608460.5212812,6,0.19946205615997314
1525608606.9274602,7,0.2085638791322708
1525608753.3736682,8,0.21441175043582916
1525608899.6597595,9,0.21883118152618408
1525609045.6306226,10,0.22412624955177307
1525609191.318279,11,0.22369898855686188
1525609337.8489096,12,0.2271345853805542
1525609489.060916,13,0.22783036530017853
1525609637.6366649,14,0.23091380298137665
1525609784.0688624,15,0.229840487241745
1525609933.5542743,16,0.23083674907684326
1525610082.921601,17,0.23262357711791992
1525610235.270473,18,0.23540347814559937
1525610385.930958,19,0.23738068342208862
1525610536.8877916,20,0.23805800080299377
1525610688.7959673,21,0.2362212836742401
1525610838.3994706,22,0.23957732319831848
1525610987.1953902,23,0.23979279398918152
1525611139.5709043,24,0.24101895093917847
1525611293.3149652,25,0.24376560747623444
1525611443.1748273,26,0.2420067936182022
1525611592.5744839,27,0.24365679919719696
1525611744.9819958,28,0.24412237107753754
1525611899.6291335,29,0.2443704456090927
1525612050.0411975,30,0.24538563191890717
1525612200.5403285,31,0.24535541236400604
1525612353.9628787,32,0.24508075416088104
1525612507.022127,33,0.2452148199081421
1525612657.7258122,34,0.2462291717529297
1525612810.738806,35,0.24715596437454224
1525612963.1553657,36,0.24815569818019867
1525613114.4801354,37,0.2477313131093979
1525613268.3077178,38,0.24745607376098633
1525613420.2720501,39,0.2499798834323883
1525613573.067231,40,0.24826566874980927
1525613724.9093654,41,0.24947528541088104
1525613873.7633293,42,0.252353698015213
1525614025.1481292,43,0.2511288821697235
1525614177.3295064,44,0.2518967390060425
1525614327.8607311,45,0.2499581277370453
1525614477.3833835,46,0.2529542148113251
1525614629.4710407,47,0.2509552836418152
1525614782.0897305,48,0.2526080906391144
1525614932.0845168,49,0.25298166275024414
1525615082.4715877,50,0.2552517056465149
1525615237.779227,51,0.254576712846756
1525615391.3417618,52,0.25440189242362976
1525615541.807103,53,0.25491437315940857
1525615691.1907916,54,0.2534731924533844
1525615844.4549563,55,0.2540861964225769
1525615998.365574,56,0.253438800573349
1525616149.3991106,57,0.25515103340148926
1525616300.4606695,58,0.25354763865470886
1525616454.32479,59,0.2547890543937683
1525616608.279464,60,0.25519049167633057
1525616762.5797226,61,0.2556568384170532
1525616916.9126682,62,0.2565501928329468
1525617075.3665862,63,0.2555420696735382
1525617233.0389435,64,0.25727105140686035
1525617388.872939,65,0.2552219331264496
1525617543.4937456,66,0.2571389973163605
1525617694.9568934,67,0.2584645748138428
1525617845.9674013,68,0.25657570362091064
1525617995.028478,69,0.2576809823513031
1525618144.592925,70,0.25813227891921997
1525618297.5228183,71,0.25842806696891785
1525618448.6948147,72,0.2574191689491272
1525618597.253746,73,0.2570435702800751
1525618746.783509,74,0.25860169529914856
1525618898.7987432,75,0.25872138142585754
1525619049.3679256,76,0.2595713138580322
1525619198.4760523,77,0.2598116099834442
1525619349.6716945,78,0.2581987977027893
1525619502.2188263,79,0.2594974935054779
1525619652.7241876,80,0.2591787278652191
1525619801.0681162,81,0.2596335709095001
1525619952.0786307,82,0.25877517461776733
1525620106.7728226,83,0.2619592249393463
1525620260.683445,84,0.2587069272994995
1525620413.894558,85,0.26087450981140137
1525620563.044444,86,0.25955140590667725
1525620707.0771997,87,0.26030105352401733
1525620852.0353048,88,0.2606544494628906
1525620997.7259443,89,0.2611521780490875
1525621141.0848877,90,0.2644983232021332
1525621284.906167,91,0.261899471282959
1525621430.1925097,92,0.2622801661491394
1525621575.8888,93,0.26239174604415894
1525621718.542285,94,0.2619745135307312
1525621860.3405085,95,0.2637636363506317
1525622001.1946826,96,0.2633199989795685
1525622141.8387043,97,0.2636670470237732
1525622282.6178198,98,0.2635713815689087
1525622423.3749206,99,0.264341801404953
1525622563.510069,100,0.26501911878585815
1525622705.8231587,101,0.26431384682655334
1525622847.1499658,102,0.2651142179965973
1525622988.514474,103,0.26483404636383057
1525623130.677559,104,0.2646530866622925
1525623271.4556427,105,0.2633451521396637
1525623413.3205128,106,0.26464349031448364
1525623557.8960204,107,0.26282650232315063
1525623702.9964664,108,0.26492801308631897
1525623845.3990898,109,0.2654627859592438
1525623988.8010907,110,0.26396384835243225
1525624132.3001661,111,0.26662564277648926
1525624275.321891,112,0.26630672812461853
1525624419.621545,113,0.2674340009689331
1525624561.6497436,114,0.2686682343482971
1525624702.2729375,115,0.2651565372943878
1525624844.8366752,116,0.2678566873073578
1525624984.7951782,117,0.266541451215744
1525625124.005141,118,0.2656956911087036
1525625263.8525646,119,0.26542818546295166
1525625403.7940598,120,0.2662968337535858
1525625542.6717787,121,0.26513025164604187
1525625681.8064873,122,0.2649833559989929
1525625820.5571303,123,0.2673395574092865
1525625959.2671018,124,0.2655784785747528
1525626098.4580631,125,0.26674941182136536
1525626237.198699,126,0.26831018924713135
1525626376.4577098,127,0.26737645268440247
1525626514.7520232,128,0.26688480377197266
1525626653.090097,129,0.26879963278770447
1525626791.2494986,130,0.2679812014102936
1525626929.583166,131,0.2672573924064636
1525627068.5889745,132,0.2652851641178131
1525627208.0521202,133,0.2663057744503021
1525627346.444486,134,0.267445832490921
1525627484.6897445,135,0.26589900255203247
1525627622.8299277,136,0.2661494314670563
1525627760.9518967,137,0.266315221786499
1525627898.801247,138,0.26911062002182007
1525628039.359195,139,0.26854339241981506
1525628177.6304867,140,0.26699891686439514
1525628315.9187894,141,0.2676452100276947
1525628453.821813,142,0.26637399196624756
1525628591.453641,143,0.269854336977005
1525628729.957879,144,0.26945576071739197
1525628869.4062197,145,0.266423761844635
1525629008.2632546,146,0.26837873458862305
1525629146.657621,147,0.26978859305381775
1525629284.6737137,148,0.2671895921230316
1525629423.2031744,149,0.26705092191696167
1525629562.2740347,150,0.26930782198905945
1525629700.2655065,151,0.2692428529262543
1525629841.025808,152,0.2702477276325226
1525629980.0389836,153,0.2694706916809082
1525630118.491412,154,0.26786959171295166
1525630257.2430327,155,0.269255131483078
1525630395.966643,156,0.26951926946640015
1525630533.809618,157,0.27055689692497253
1525630672.9235108,158,0.2683546543121338
1525630812.074103,159,0.2689361870288849
1525630950.0824978,160,0.2675120234489441
1525631088.3647656,161,0.2694905698299408
1525631226.4749074,162,0.2695886492729187
1525631364.2718244,163,0.27034077048301697
1525631502.6511612,164,0.2678022086620331
1525631640.7552989,165,0.2696385085582733
1525631779.2893267,166,0.2708169221878052
1525631917.5067663,167,0.2690436840057373
1525632055.2740016,168,0.26798251271247864
1525632193.5202603,169,0.2701391577720642
1525632331.6294158,170,0.26864510774612427
1525632469.655509,171,0.2701556980609894
1525632608.358096,172,0.2687302827835083
1525632746.781483,173,0.2680346667766571
1525632884.5876706,174,0.26951172947883606
1525633023.1125314,175,0.2695986032485962
1525633160.7934027,176,0.2654052674770355
1525633298.633394,177,0.2661339342594147
1525633437.546159,178,0.2681836187839508
1525633575.9095242,179,0.2690143883228302
1525633714.3499515,180,0.270286500453949
1525633852.687579,181,0.2708298861980438
1525633990.5596273,182,0.2679554522037506
1525634128.819211,183,0.26968586444854736
1525634267.157529,184,0.2699286937713623
1525634406.0322304,185,0.2695174813270569
1525634544.3245108,186,0.27047738432884216
1525634682.6598253,187,0.2703474462032318
1525634820.498235,188,0.2702629566192627
1525634958.6866572,189,0.26950836181640625
1525635096.2147343,190,0.2700785994529724
1525635234.8542752,191,0.27067381143569946
1525635373.160577,192,0.26858997344970703
1525635510.8354173,193,0.2680845856666565
1525635649.292829,194,0.2683887779712677
1525635787.7302248,195,0.26899877190589905
1525635925.3060553,196,0.267272025346756
1525636063.724433,197,0.2683691084384918
1525636202.8846667,198,0.27129310369491577
1525636340.7066069,199,0.26950910687446594
